1   3  12   12   3    0 2018  157
1   1  12    6   2    0 2018  158
2   2  10    7   1    0 2018  159
1   1   9    9   2   15 2018  160
3   3 -98 -100   3 -100 2018  161
2   3  12 -100   2 -100 2018  162
1   2  12   12   2    8 2018  163
3   3   5 -100   3 -100 2018  164
1   2   3 -100   2 -100 2018  165
2   3 -98 -100   2 -100 2018  166
3   2  12 -100   1   15 2018  167
1   3 -98  -98   2  -99 2018  168
3   3  12   12   3    0 2018  169
1   2  12   12   2    0 2018  170
3   3  12    7   2    7 2018  171
2   5  12   12   1    0 2018  172
3   3  12   12   3    0 2018  173
2   3 -90 -100   2 -100 2018  174
3   4  12   12   1    0 2018  175
2   3  12 -100   2 -100 2018  176
1   4  12   12   1    1 2018  177
3   1  12   12   2    1 2018  178
2   4  12   12   1    1 2018  179
1   4   9 -100   1 -100 2018  180
3 -98 -98 -100 -98  -98 2018  181
2   3   9 -100   2 -100 2018  182
1   3  12   12   2    0 2018  183
2   4  12   12   2    2 2018  184
1   3  12   12   3    3 2018  185
3   4  12    2   1 -100 2018  186
2   1  12   12   2 -100 2018  187
1   3  12   12   2    0 2018  188
3 -99 -90  -90   2 -100 2018  189
2   3  12   12   3    0 2018  190
3   3  12   12   1    1 2018  191
3   1  12 -100   3 -100 2018  192
2   2   1 -100   2 -100 2018  193
1   3  12   12   2   10 2018  194
2   4  10 -100   2 -100 2018  195
1   4  12   12   3    3 2018  196
2   1  12   11   2    1 2018  197
1   3  12   11   2    0 2018  198
3   2  12   12   1    0 2018  199
1   3  12    9   2    0 2018  200
1   4  12   12   2   14 2018  201
1   1  12   12   1 -100 2018  202
3   3  12 -100   1 -100 2018  203
1   4  12 -100   2 -100 2018  204
3   1  12 -100   1 -100 2018  205
2   2  12 -100   3 -100 2018  206
1   3  12   12   2   14 2018  207
2   4  12 -100   2 -100 2018  208
3   1  12 -100   3   20 2018  209
2   3 -98  -98   2 -100 2018  210
3   3  10 -100   1 -100 2018  211
2   1  12   12   1    0 2018  212
1   4  11 -100   3 -100 2018  213
2   3   9 -100   2 -100 2018  214
3   2  12 -100   2 -100 2018  215
1   3  12   10   2    0 2018  216
3   2  11 -100   3 -100 2018  217
2   2   3    5   3    0 2018  218
1   4   9 -100   2 -100 2018  219
3   3  12   12   1    3 2018  220
3   3  12   12   2   10 2018  221
3   3  12 -100   2    5 2018  222
1   2  12 -100   1    0 2018  223
3   3  12   12   3    0 2018  224
1   1  12    8   1    0 2018  225
2   1  12    9   2   15 2018  226
1   3  12   10   1 -100 2018  227
3   2  12   12   2    6 2018  228
2   2  12 -100   3 -100 2018  229
2   4  12 -100   1    0 2018  230
3   2  12    8   1    0 2018  231
2   3  12   12   2    6 2018  232
3   3 -90  -90   1    0 2018  233
1   4  12 -100   1 -100 2018  234
3   3  12   12   2    5 2018  235
2   3  12   12   2    2 2018  236
1   2  12   12   1    0 2018  237
3   3 -98 -100   3 -100 2018  238
2   3  12   12   2    0 2018  239
1   2  12 -100   2 -100 2018  240
3   3  12   12   1    0 2018  241
3   3  12   12   2    3 2018  242
2   3  12   12   2    0 2018  243
1   4  12   12   2   10 2018  244
2   1   6 -100   3   30 2018  245
1   3 -98  -98   2    0 2018  246
3   3  12   12   1    5 2018  247
3   3  12 -100   2 -100 2018  248
3   1 -90  -90   2  -99 2018  249
1   3  12 -100   1 -100 2018  250
3   2   9 -100   2 -100 2018  251
2   2  12   12   1    0 2018  252
2   3  10    6   3 -100 2018  253
2   5   9 -100   2 -100 2018  254
1   2   9 -100   2 -100 2018  255
1   2 -98 -100   2 -100 2018  256
3   2  12   12   2   30 2018  257
1   2  12 -100   2    2 2018  258
1   3  12 -100   2 -100 2018  259
2   3  12   12   2    0 2018  260
1   3  12 -100   1 -100 2018  261
3   4  12    9   2    0 2018  262
2   3  12   12   1   20 2018  263
2   3  12 -100   2    2 2018  264
1   4  12   12   2 -100 2018  265
2   2  12 -100   2 -100 2018  266
3   1  12   12   2    0 2018  267
