variable,value
$1000 TO 2999,6.5
$10000 - 14999,5.529680365296803
$15000 - 19999,6.553072625698324
$20000 - 24999,5.056910569105691
$25000 OR MORE,4.670952659263588
$3000 TO 3999,5.785714285714286
$4000 TO 4999,5.27027027027027
$5000 TO 5999,5
$6000 TO 6999,4.457142857142857
$7000 TO 7999,5.7254901960784315
$8000 TO 9999,5.433962264150943
LT $1000,6.809523809523809
