variable,value
$1000 TO 2999,2.0779220779220777
$10000 - 14999,2.0493273542600896
$15000 - 19999,1.9725274725274726
$20000 - 24999,2.004032258064516
$25000 OR MORE,2.128827267475448
$3000 TO 3999,1.9523809523809523
$4000 TO 4999,2
$5000 TO 5999,2.135135135135135
$6000 TO 6999,1.9428571428571428
$7000 TO 7999,2.0384615384615383
$8000 TO 9999,2.0925925925925926
LT $1000,2.0232558139534884
