variable,value
ABOVE AVERAGE,2.103286384976526
AVERAGE,2.1024590163934427
BELOW AVERAGE,2.014423076923077
FAR ABOVE AVERAGE,2.088235294117647
FAR BELOW AVERAGE,2.04014598540146
