variable,value
"$1,000 to $2,999",1.7
"$10,000 to $14,999",1.8064516129032258
"$15,000 to $19,999",1.6904761904761905
"$20,000 to $24,999",1.8493150684931507
"$25,000 or more",2.101449275362319
"$3,000 to $3,999",1.8
"$4,000 to $4,999",1.6666666666666667
"$5,000 to $5,999",1.6666666666666667
"$6,000 to $6,999",2.25
"$7,000 to $7,999",2
"$8,000 to $9,999",1.8
"Under $1,000",1.6
