year,id_,incom16,income,rincome,happy,mntlhlth
2002,743,BELOW AVERAGE,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,2,NA
2002,747,FAR BELOW AVERAGE,"$3,000 to $3,999",$3000 TO 3999,2,15
2002,748,.i:  Inapplicable,.r:  Refused,.n:  No answer,2,2
2002,753,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,790,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,25
2002,811,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,819,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,821,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,5
2002,847,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,867,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,5
2002,873,.i:  Inapplicable,"$5,000 to $5,999",.i:  Inapplicable,2,2
2002,878,BELOW AVERAGE,"$25,000 or more",$5000 TO 5999,2,4
2002,883,BELOW AVERAGE,.r:  Refused,.r:  Refused,2,4
2002,892,BELOW AVERAGE,"$25,000 or more",$15000 - 19999,3,2
2002,900,ABOVE AVERAGE,.r:  Refused,$25000 OR MORE,2,3
2002,902,AVERAGE,"$4,000 to $4,999",$1000 TO 2999,2,15
2002,934,AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,944,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,1
2002,963,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,971,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,972,AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2002,981,AVERAGE,"$25,000 or more",$25000 OR MORE,3,4
2002,990,AVERAGE,"$25,000 or more",$25000 OR MORE,3,3
2002,991,BELOW AVERAGE,"$10,000 to $14,999",$10000 - 14999,1,5
2002,998,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2002,1021,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,1053,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,1056,AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1062,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2002,1066,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1104,ABOVE AVERAGE,"$8,000 to $9,999",$8000 TO 9999,1,6
2002,1130,AVERAGE,"$25,000 or more",$20000 - 24999,2,7
2002,1145,AVERAGE,"$25,000 or more",$25000 OR MORE,1,5
2002,1158,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1162,FAR BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2002,1166,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1171,ABOVE AVERAGE,"$25,000 or more",$10000 - 14999,2,2
2002,1183,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,1,2
2002,1184,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,3
2002,1220,AVERAGE,"$25,000 or more",$25000 OR MORE,2,NA
2002,1222,AVERAGE,"$25,000 or more",$25000 OR MORE,3,1
2002,1223,BELOW AVERAGE,"$25,000 or more",$25000 OR MORE,2,7
2002,1230,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,4
2002,1236,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,1247,ABOVE AVERAGE,.r:  Refused,.r:  Refused,3,5
2002,1249,AVERAGE,.r:  Refused,.r:  Refused,2,2
2002,1257,AVERAGE,"$25,000 or more",$25000 OR MORE,2,5
2002,1276,BELOW AVERAGE,"$25,000 or more",$20000 - 24999,2,15
2002,1281,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,3,2
2002,1297,AVERAGE,.d:  Do not Know/Cannot Choose,.d:  Do not Know/Cannot Choose,2,7
2002,1306,AVERAGE,"$25,000 or more",$25000 OR MORE,2,2
2002,1325,ABOVE AVERAGE,"$25,000 or more",$25000 OR MORE,1,1
2002,1329,ABOVE AVERAGE,"$20,000 to $24,999",$20000 - 24999,2,2
2002,1333,AVERAGE,"$15,000 to $19,999",$8000 TO 9999,3,2
2002,1342,AVERAGE,"$20,000 to $24,999",$20000 - 24999,2,5
